title	category
Vepřová kýta	Maso
Vepřové plecko	Maso
Vepřový bok	Maso
Vepřová krkovice	Maso
Vepřová žebra	Maso
Vepřové ledvinky	Maso
Vepřová játra	Maso
Hovězí svíčková	Maso
Hovězí roštěnec	Maso
Hovězí kýta	Maso
Hovězí mleté maso	Maso
Hovězí vysoký roštěnec	Maso
Hovězí krk	Maso
Hovězí žebro	Maso
Telecí kýta	Maso
Jehněčí kýta	Maso
Jehněčí kotleta	Maso
Králík	Maso
Kachna	Maso
Husa	Maso
Zvěřina srnčí	Maso
Zvěřina jelení	Maso
Losos	Ryby
Pstruh	Ryby
Tuňák	Ryby
Treska	Ryby
Sleď	Ryby
Makrela uzená	Ryby
Sardinky v oleji	Ryby
Krevety	Ryby
Kapr	Ryby
# Uzeniny
Špekáček	Uzeniny
Klobása vepřová	Uzeniny
Vinná klobása	Uzeniny
Lovecký salám	Uzeniny
Vysočina	Uzeniny
Turistický salám	Uzeniny
Šunkový salám	Uzeniny
Šunka pražská	Uzeniny
Šunka dušená	Uzeniny
Šunka nejvyšší jakosti	Uzeniny
Drůbeží šunka	Uzeniny
Anglická slanina	Uzeniny
Slanina prorostlá	Uzeniny
Sekaná	Uzeniny
Tlačenka	Uzeniny
Jaternice	Uzeniny
Jelito	Uzeniny
Paštika drůbeží	Uzeniny
Paštika játrová	Uzeniny
Debrecínka	Uzeniny
Párek vídeňský	Uzeniny
Frankfurtský párek	Uzeniny
Hot dog párek	Uzeniny
Kabanos	Uzeniny
Salám gothaj	Uzeniny
Salám junior	Uzeniny
# Mléčné výrobky
Mléko polotučné	Mléčné
Mléko plnotučné	Mléčné
Mléko nízkotučné	Mléčné
Smetana ke šlehání	Mléčné
Smetana na vaření	Mléčné
Zakysaná smetana	Mléčné
Tvaroh měkký	Mléčné
Tvaroh tučný	Mléčné
Tvaroh polotučný	Mléčné
Tvaroh tvrdý	Mléčné
Cottage cheese	Mléčné
Bílý jogurt	Mléčné
Řecký jogurt	Mléčné
Skyr	Mléčné
Pribina	Mléčné
Lipánek	Mléčné
Termix	Mléčné
Bobík	Mléčné
Kefír	Mléčné
Acidofilní mléko	Mléčné
Podmáslí	Mléčné
Sýr Eidam 30%	Mléčné
Sýr Eidam 45%	Mléčné
Sýr Gouda	Mléčné
Sýr Niva	Mléčné
Sýr Hermelín	Mléčné
Sýr Encián	Mléčné
Sýr Tavený	Mléčné
Sýr Lučina	Mléčné
Sýr Žervé	Mléčné
Sýr Mozzarella	Mléčné
Sýr Parmazán	Mléčné
Sýr Feta	Mléčné
Sýr Cottage	Mléčné
Sýr Olomoucké tvarůžky	Mléčné
Máslo	Mléčné
Hera	Mléčné
Rama	Mléčné
Flora	Mléčné
# Vejce
Vejce slepičí	Vejce
Vejce křepelčí	Vejce
Vaječný bílek	Vejce
Vaječný žloutek	Vejce
# Příloha
Houskový knedlík	Příloha
Bramborový knedlík	Příloha
Karlovarský knedlík	Příloha
Špekový knedlík	Příloha
Brambory vařené	Příloha
Brambory pečené	Příloha
Bramborová kaše	Příloha
Šťouchané brambory	Příloha
Hranolky	Příloha
Americké brambory	Příloha
Krokety	Příloha
Rýže basmati vařená	Příloha
Rýže jasmínová vařená	Příloha
Rýže bílá vařená	Příloha
Rýže natural vařená	Příloha
Bulgur vařený	Příloha
Kuskus vařený	Příloha
Quinoa vařená	Příloha
Pohanka vařená	Příloha
Špagety vařené	Příloha
Penne vařené	Příloha
Fusilli vařené	Příloha
Tagliatelle vařené	Příloha
Lasagne plát	Příloha
# Sladké
Větrník	Sladké
Kremrole	Sladké
Laskonka	Sladké
Punčový dort	Sladké
Medovník	Sladké
Štrúdl jablečný	Sladké
Závin makový	Sladké
Závin tvarohový	Sladké
Lívance	Sladké
Palačinka	Sladké
Trdelník	Sladké
Kobliha	Sladké
Donut	Sladké
Vdolek	Sladké
Linecké koláčky	Sladké
Vanilkové rohlíčky	Sladké
Perníčky	Sladké
Marlenka	Sladké
Tatranka	Sladké
Horalka	Sladké
Kávenka	Sladké
Mila	Sladké
Margot	Sladké
Studentská pečeť	Sladké
Tatra tyčinka	Sladké
Bebe Dobré ráno	Sladké
Mucholapka	Sladké
Lentilky	Sladké
Bonbon ovocný	Sladké
Bonbon medový	Sladké
# Nápoje
Kofola	Nápoje
Pilsner Urquell	Nápoje
Staropramen	Nápoje
Velkopopovický kozel	Nápoje
Birell	Nápoje
Mattoni	Nápoje
Magnesia	Nápoje
Coca-Cola	Nápoje
Pepsi	Nápoje
Fanta	Nápoje
Sprite	Nápoje
Vinea	Nápoje
Pomerančový džus	Nápoje
Jablečný džus	Nápoje
Multivitamin džus	Nápoje
Káva espresso	Nápoje
Káva s mlékem	Nápoje
Cappuccino	Nápoje
Latté	Nápoje
Černý čaj	Nápoje
Zelený čaj	Nápoje
Ovocný čaj	Nápoje
Bylinkový čaj	Nápoje
# Zelenina
Brambory	Zelenina
Mrkev	Zelenina
Petržel kořen	Zelenina
Celer hlíza	Zelenina
Cibule	Zelenina
Česnek	Zelenina
Pórek	Zelenina
Zelí bílé	Zelenina
Zelí červené	Zelenina
Zelí kysané	Zelenina
Květák	Zelenina
Brokolice	Zelenina
Kapusta	Zelenina
Růžičková kapusta	Zelenina
Kedluben	Zelenina
Špenát	Zelenina
Salát hlávkový	Zelenina
Ledový salát	Zelenina
Rukola	Zelenina
Polníček	Zelenina
Okurka salátová	Zelenina
Okurka nakládaná	Zelenina
Rajče	Zelenina
Rajče cherry	Zelenina
Paprika červená	Zelenina
Paprika žlutá	Zelenina
Paprika zelená	Zelenina
Cuketa	Zelenina
Lilek	Zelenina
Patizon	Zelenina
Dýně Hokkaido	Zelenina
Tykev máslová	Zelenina
Žampiony	Zelenina
Hlíva ústřičná	Zelenina
Hříbky	Zelenina
Lišky	Zelenina
Kukuřice	Zelenina
Hrášek zelený	Zelenina
Fazolky zelené	Zelenina
Ředkvičky	Zelenina
Ředkev bílá	Zelenina
Avokádo	Zelenina
Olivy zelené	Zelenina
Olivy černé	Zelenina
Chřest zelený	Zelenina
Reveň	Zelenina
# Ovoce
Jablko	Ovoce
Hruška	Ovoce
Banán	Ovoce
Pomeranč	Ovoce
Mandarinka	Ovoce
Citron	Ovoce
Limetka	Ovoce
Grep	Ovoce
Jahoda	Ovoce
Maliny	Ovoce
Borůvky	Ovoce
Ostružiny	Ovoce
Rybíz červený	Ovoce
Rybíz černý	Ovoce
Angrešt	Ovoce
Třešně	Ovoce
Višně	Ovoce
Meruňky	Ovoce
Broskve	Ovoce
Nektarinky	Ovoce
Švestky	Ovoce
Mirabelky	Ovoce
Hroznové víno bílé	Ovoce
Hroznové víno červené	Ovoce
Meloun vodní	Ovoce
Meloun žlutý	Ovoce
Cantaloupe	Ovoce
Ananas	Ovoce
Mango	Ovoce
Kiwi	Ovoce
Granátové jablko	Ovoce
Liči	Ovoce
Datle	Ovoce
Fíky	Ovoce
Rozinky	Ovoce
Sušené švestky	Ovoce
Sušené meruňky	Ovoce
Sušená brusinka	Ovoce
# Luštěniny a obiloviny
Čočka červená	Luštěniny
Čočka zelená	Luštěniny
Čočka hnědá	Luštěniny
Cizrna	Luštěniny
Fazole bílé	Luštěniny
Fazole červené	Luštěniny
Fazole černé	Luštěniny
Hrách žlutý	Luštěniny
Sója žlutá	Luštěniny
Tofu natural	Luštěniny
Tempeh	Luštěniny
Hummus	Luštěniny
Ovesné vločky	Obiloviny
Pšeničné otruby	Obiloviny
Mouka pšeničná hladká	Obiloviny
Mouka pšeničná polohrubá	Obiloviny
Mouka pšeničná hrubá	Obiloviny
Mouka žitná	Obiloviny
Mouka špaldová	Obiloviny
Mouka kukuřičná	Obiloviny
Krupice	Obiloviny
Strouhanka	Obiloviny
Kukuřičné lupínky	Obiloviny
Müsli	Obiloviny
Granola	Obiloviny
# Ořechy a semínka
Vlašské ořechy	Ořechy
Mandle	Ořechy
Lískové ořechy	Ořechy
Kešu	Ořechy
Para ořechy	Ořechy
Pekanové ořechy	Ořechy
Pistácie	Ořechy
Arašídy	Ořechy
Kokos strouhaný	Ořechy
Slunečnicová semínka	Ořechy
Dýňová semínka	Ořechy
Lněná semínka	Ořechy
Sezamová semínka	Ořechy
Chia semínka	Ořechy
Mák	Ořechy
# Tuky
Olivový olej	Tuky
Slunečnicový olej	Tuky
Řepkový olej	Tuky
Kokosový olej	Tuky
Sádlo	Tuky
Husí sádlo	Tuky
Margarín	Tuky
Avokádový olej	Tuky
Lněný olej	Tuky
# Ostatní základní
Cukr krystal	Ostatní
Cukr moučka	Ostatní
Cukr třtinový	Ostatní
Med	Ostatní
Javorový sirup	Ostatní
Med květový	Ostatní
Med akátový	Ostatní
Sůl	Ostatní
Pepř černý	Ostatní
Skořice	Ostatní
Vanilkový cukr	Ostatní
Kečup	Ostatní
Hořčice plnotučná	Ostatní
Hořčice kremžská	Ostatní
Tatarka	Ostatní
Majonéza	Ostatní
Křen strouhaný	Ostatní
Sojová omáčka	Ostatní
Worcester omáčka	Ostatní
Ocet bílý	Ostatní
Ocet jablečný	Ostatní
Ocet balsamico	Ostatní
Kakao prášek	Ostatní
Čokoláda mléčná	Ostatní
Čokoláda hořká	Ostatní
Čokoláda bílá	Ostatní
Sušené mléko	Ostatní
Kondenzované mléko	Ostatní
Žloutkový krém	Ostatní
